Vuelta,Escenario_Optimista_P10,Estrategia_Esperada_P50,Limite_Critico_P90
1,0.01,0.01,0.01
2,0.02,0.02,0.02
3,0.03,0.03,0.03
4,0.04,0.04,0.5488159120082856
5,0.05,0.05,0.9128811240196228
6,0.060000000000000005,0.41732431948184967,1.4648898839950564
7,0.07,0.7031876742839813,1.8419256925582885
8,0.08,0.9239183664321899,2.260191822052002
9,0.2151350259780884,1.2181788086891174,2.717426133155823
10,0.4029994696378708,1.5633232593536377,3.105320692062378
11,0.5949579536914825,1.8489122986793518,3.420570993423462
12,0.7313074052333832,2.149307131767273,3.7797527790069583
13,0.9453444004058839,2.3783316612243652,4.242224454879761
14,1.155747723579407,2.592132091522217,4.459901237487793
15,1.2377904295921325,2.7048957347869873,4.634197521209717
16,1.340180778503418,2.873445510864258,4.914970684051514
17,1.4549057245254517,3.0742008686065674,5.145971012115479
18,1.621439278125763,3.1991270780563354,5.387054824829102
19,1.7867886662483214,3.464950442314148,5.592233324050904
20,1.967866349220276,3.733346700668335,6.064688634872437
21,2.2041097164154055,4.11752462387085,6.418519496917725
22,2.3806328535079957,4.349143981933594,6.726687335968018
23,2.4829060077667235,4.5184407234191895,7.043640279769898
24,2.5892835140228274,4.711777925491333,7.272716665267945
25,2.704749655723572,4.813870906829834,7.379792070388794
26,2.8321672677993774,4.970547914505005,7.571665525436401
27,3.045696520805359,5.305394649505615,7.901272010803223
28,3.1944316148757936,5.524861097335815,8.09681158065796
29,3.3427801370620727,5.674877643585205,8.368984127044678
30,3.530747628211975,5.9864654541015625,8.603610610961914
31,3.8280397415161134,6.190342426300049,9.137390422821046
32,3.9816167831420897,6.455132722854614,9.398056507110596
33,4.161994123458863,6.655254602432251,9.714499187469482
34,4.377889013290405,6.914347887039185,9.929286479949951
35,4.499083089828491,7.200713872909546,10.16227264404297
36,4.630435132980347,7.43045973777771,10.549378490447998
37,4.865082406997681,7.670170545578003,10.801119136810303
38,5.0293375015258786,7.916398048400879,11.128375053405762
39,5.291571474075317,8.09965705871582,11.450720977783202
40,5.421510171890259,8.406964778900146,11.666801261901856
41,5.540288591384888,8.572060585021973,11.875834369659424
42,5.877493286132813,8.848870754241943,12.204306411743165
43,5.974030685424805,9.109384059906006,12.498422622680664
44,6.417001867294312,9.600470542907715,12.98891773223877
45,6.561069583892823,9.830619812011719,13.211050128936767
46,6.768791198730469,10.042567253112793,13.478913116455079
47,7.028639936447144,10.314016819000244,13.92216510772705
48,7.3929647445678714,10.726331233978271,14.470707893371584
49,7.624554109573364,11.020827293395996,14.855852699279785
50,7.761503267288208,11.388182163238525,15.342736148834229
